Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
Ingredion,PT_00910,https://www.ingredion.com,INGREDION INCORPORATED,United States,North America,High income,Public, US4571871023,,, Q8273105, PKSTQ48QDN0XSVS7YK88, FAB, Yes, , Yes, , , , Yes, Food Production,1062, Manufacture of starches and starch products,"  6,894.00 ","  7,946.00 ","  8,160.00 ","  12,000.00 ","  11,700.00 ","  11,600.00 ", ...,  36.4 ,"  49,046.11 ","  277,346.00 ",  3.04 ,  3.04 ,  -   ,  9.82 ,  -   ,  11.74 , Yes,  10.20 , No, Targets Set, Targets Set,"  13,355,632.18 ","  1,406,136.11 ",  3.97 ,"  13,512,120.56 ","  1,512,378.26 ",  4.85 ,  -   ,  -   ,  25.00 ,31-Dec-23,, ,  -   ,  -   , , ,Annual Report,2023 SUSTAINABILITY REPORT,https://ir.ingredionincorporated.com/static-files/f0825971-38f5-4e6f-8a9d-a959b1d52570,https://www.ingredion.com/content/dam/ingredion/2024/language-master/pdfs/2023-Ingredion-Sustainability-Report.pdf
China Minsheng Bank,PT_00378,http://en.cmbc.com.cn,"China Minsheng Banking Corp., Ltd.",China,East Asia & Pacific,Upper middle income,Public, CNE0000015Y0,01988, HKEX, Q911543, 549300HBUGSQD1VCXG94, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  43,548.87 ","  60,232.00 ","  62,615.00 ","  60,843.00 ",  56.5 ,  20.0 ,  760.26 ,"  24,426.56 ",  0.08 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  151,032.60 ","  116,100.89 ",  -   ,"  152,168.01 ","  119,122.65 ",  -   ,"  132,166.03 ","  96,338.65 ",  -   ,31-Dec-23,  2 ,  2 ,  2 , Employees, , ,ANNUAL REPORT,"2023 ENVIRONMENTAL, SOCIAL AND GOVERNANCE (ESG) REPORT",https://staticpacific.blob.core.windows.net/press-releases-attachments/1660893/HKEX-EPS_20240426_11182809_0.PDF,https://en.cmbc.com.cn/upload/images/2023/9/EN-%E4%B8%AD%E5%9B%BD%E6%B0%91%E7%94%9F%E9%93%B6%E8%A1%8C2023%E5%B9%B4%E5%BA%A6ESG%E6%8A%A5%E5%91%8A.pdf
Cogent Communications,PT_00449,https://www.cogentco.com,"Cogent Communications Holdings, Inc.",United States,North America,High income,Public, US19239V3024,,, Q1106938, 549300KFWFYF8Q1U0Y26, DIB, , , , Yes, , , Yes, Telecommunications,6190, Other telecommunications activities,  589.80 ,  599.60 ,  940.92 ,"  1,001.00 ","  1,076.00 ","  1,947.00 ", ...,  33.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,ANNUAL REPORT, ,https://www.cogentco.com/files/docs/about_cogent/investor_relations/reports/10k_report_2023.pdf, 
China Overseas Land & Investment,PT_00386,http://www.coli.com.hk,China Overseas Land and Investment Limited,"Hong Kong SAR, China",East Asia & Pacific,High income,Public, HK0688002218,0688, HKEX, Q1073463, 529900I6W35GYKRIZ151, Climate, , Yes, , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  37,556.71 ","  26,753.94 ","  28,605.09 ","  5,692.00 ","  4,351.00 ","  3,651.00 ",  27.5 ,  11.1 ,"  4,242.32 ","  297,028.14 ",  -   ,  -   ,  -   ,  -   ,  -   ,  0.00 , No,  0.00 , No,  -   , …,  -   ,  -   ,  -   ,"  731,819.00 ","  528,014.78 ",  -   ,"  282,189.00 ","  194,380.00 ",  -   ,31-Dec-23,, ,  -   ,  -   , , ,2023 Annual Report,"2023 Environmental, Social and Governance Report",https://media-chinaoverseas.todayir.com/202404261836091758563002_en.pdf,http://www.coli.com.hk/wp-content/uploads/2024/04/C00688_ESG_2023_en.pdf
China Pacific Insurance,PT_00388,https://www.cpic.com.cn,China Pacific Insurance Group Co Ltd,China,East Asia & Pacific,Upper middle income,Public, CNE1000008M8,02601, HKEX, Q1003813, 529900BA5ILEL308WX03, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  45,754.94 ","  114,108.00 ","  110,862.00 ","  104,270.00 ",  51.9 ,  -   ,"  1,413.90 ","  5,541.28 ",  0.11 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  189,802.33 ","  168,742.56 ",  -   ,"  148,533.80 ","  131,307.45 ",  -   ,"  489,562.00 ","  337,940.29 ",  -   ,31-Dec-23,  1 , , ,  -   , , ,2023 Annual Report,2023 China Pacific Insurance Sustainability Report,https://www.cpic.com.cn/upload/resources/file/2024/04/22/80572.pdf,https://www.cpic.com.cn/upload/resources/file/2024/07/02/81351.pdf
China Railway Construction,PT_00392,https://english.crcc.cn,China Railway Construction Corporation Limited,China,East Asia & Pacific,Upper middle income,SOE, CNE1000009T1,01186, HKEX, Q1073482, 3003008XPPXMY0STYT17, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4210, Construction of roads and railways,"  158,141.11 ","  162,657.70 ","  160,733.54 ","  267,760.00 ","  269,577.00 ","  267,587.00 ",  21.5 ,  14.3 ,"  298,433.60 ","  42,057,800.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  47,970,028.40 ","  19,158,380.00 ",  -   ,"  54,878,481.00 ","  2,063.28 ",  -   ,"  54,334,662.20 ","  21,633,170.00 ",  -   ,31-Dec-23,  50 , ,  -   ,  -   , , ,Annual Report,Annual Report,https://english.crcc.cn/module/download/downfile.jsp?classid=0&filename=32469cd94e244351959a5d90eb2f51f7.pdf,https://english.crcc.cn/module/download/downfile.jsp?classid=0&filename=32469cd94e244351959a5d90eb2f51f7.pdf
China Railway Group,PT_02191,http://www.crecg.com,China Railway Group Limited,China,East Asia & Pacific,Upper middle income,Public, CNE100000866,00390, HKEX, Q979615, 30030000I37M0EEROL53, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4210, Construction of roads and railways,"  166,398.76 ","  171,268.40 ","  178,448.02 ","  294,013.00 ","  297,620.00 ","  299,652.00 ",  16.4 ,  -   ,"  460,506.50 ","  5,159,200.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  36,494,810.00 ","  10,453,000.00 ",  -   ,"  39,245,150.00 ","  11,307,960.00 ",  -   ,"  41,298,740.00 ","  11,856,130.00 ",  -   ,31-Dec-23,, ,  -   ,  -   , , ,2023 ANNUAL REPORT,"Environmental, Social and Governance Report",https://www.crecg.com/zgztywz/10199117/10199138/10278665/10278705/2024091410533144198.pdf,"https://www.crecg.com/zgztywz/resource/cms/article/10203385/10269311/24-09%20Environmental,%20Social%20and%20Governance%20Report%20and%20Social%20Responsibility%20Report%20of%20CREC%20for%202023.pdf"
China Re Group,PT_02663,https://eng.chinare.com.cn,China Reinsurance (Group) Corporation,China,East Asia & Pacific,Upper middle income,SOE, CNE100002342,01508, HKEX, Q10873285, 300300F3000111000079, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  15,451.25 ",  -   ,  -   ,"  50,015.00 ", ...,  44.4 ,  609.61 ,"  2,369.53 ", ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,"  734,757.65 ","  45,648.11 ",  -   ,31-Dec-23,  5 , , ,  -   , , ,Annual Report,Corporate Social Responsibility Report,https://eng.chinare.com.cn/zzywwzgb/attachDir/2024/04/2024042809465443837.pdf,https://staticpacific.blob.core.windows.net/press-releases-attachments/1660804/HKEX-EPS_20240426_11182056_0.PDF
China International Marine Containers,PT_00373,https://www.cimc.com,"China International Marine Containers Co., Ltd",China,East Asia & Pacific,Upper middle income,Public, CNE000000644,02039, HKEX, Q1073291, 300300Q7JK7J0KAIEA51, Nature, , , Yes, , , , Yes, Capital Goods,2512," Manufacture of tanks, reservoirs and containers of metal","  25,379.22 ","  20,999.50 ","  18,052.19 ","  20,990.00 ","  62,194.00 ","  68,940.00 ", ...,  22.2 ,"  5,648.56 ","  272,441.38 ",  1.14 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  2,191,695.00 ","  1,327,124.21 ",  -   ,"  1,697,610.65 ","  904,563.91 ",  -   ,"  1,768,437.52 ","  908,819.63 ",  9.00 ,31-Dec-23,  5 , ,  -   ,  -   , Number of employees,"  62,194 ",Annual Report,ESG REPORT,https://investor.cimc.com/media/rk5bd4la/cimc-results-annuouncement-for-the-ye-31-dec-2023.pdf,https://www.cimc.com/en/uploadfile/2024/0403/20240403031327201.pdf
China Resources Holdings,PT_00393,https://en.crc.com.cn,China Resources Holdings,China,East Asia & Pacific,Upper middle income,Government,,,, Q1073501, 300300VBGNF9ABT6NH61, Social,, ,  -   , , , , Yes, Conglomerates,6420, Activities of holding companies, ...,"  121,403.56 ", ..., ...,"  375,000.00 ",  , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,  2 , ,  -   ,  -   , , ,, ,, 
China Resources Land,PT_02124,https://en.crland.com.hk,China Resources Land,China,East Asia & Pacific,Upper middle income,SOE, KYG2108Y1052,01109, HKEX, Q5099887, 5299001HL0TU7X15HK51, Climate, , Yes, , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  32,885.27 ","  30,721.23 ","  35,471.34 ","  49,478.00 ","  55,311.00 ","  61,658.00 ",  36.0 ,  14.3 ,"  20,590.07 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  973,663.60 ",  -   ,  -   ,"  993,584.63 ","  845,100.00 ",  -   ,"  1,035,567.76 ","  728,439.90 ",  -   ,31-Dec-23,  2 , ,  -   ,  -   , , ,2023 year Annual Report,China Resources Land Sustainability Report,https://crland-umb.azurewebsites.net/media/1790/c23ar_cr-land.pdf,https://en.crland.com.hk/societyResponse/2024-07-24/e7d1acbb-e803-4a07-bca9-56a8b04311d5.pdf
Cencosud,PT_00330,https://www.cencosud.com,Cencosud S.A.,Chile,Latin America & Caribbean,High income,Public, CL0000000100,,, Q1053372, 549300NLTGCFV7482429, FAB, Yes, , Yes, , , , Yes, Food Retailers,4711," Retail sale in non-specialized stores with food, beverages or tobacco predominating","  14,963.72 ","  16,262.38 ","  16,939.83 ","  116,214.00 ","  122,880.00 ","  121,657.00 ",  51.5 ,  33.3 ,"  7,637.69 ","  272,078.00 ",  1.10 ,  -   ,  -   ,  0.08 ,  -   ,  0.09 , No,  0.10 , No,  -   , …,"  1,266,427.00 ","  1,138,792.00 ",  16.16 ,"  1,451,398.00 ","  1,263,399.00 ",  34.61 ,"  1,380,152.00 ","  1,193,902.00 ",  39.39 ,31-Dec-23,  6 , , ,  -   ,  -   ,"  1,315 ",Cencosud S.A. and Affiliates Financial Statements,Integrated Annual Report 2023,https://www.cencosud.com/cencosud/site/docs/20230510/20230510161301/consolidated_financial_statements_cencosud_12_2023.pdf,https://www.cencosud.com/cencosud/site/docs/20240409/20240409224848/memoria_cencosud_2023__eng__con_declaracion.pdf
China Southern Airlines,PT_00396,https://www.csair.com,China Southern Airlines Company Limited,China,East Asia & Pacific,Upper middle income,SOE, CNE000001FG0,01055, HKEX, Q291090, 529900AJQ1Q18ABYVX84, Climate, , Yes, , , , , Yes, Passenger Transport,5110, Passenger air transport,"  15,758.76 ","  12,916.77 ","  22,588.84 ","  98,098.00 ","  97,899.00 ","  99,468.00 ",  39.1 ,  14.3 ,"  5,983.90 ","  182,451.40 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,"  256,513.80 ",  -   ,"  5,691,035.35 ","  295,807.70 ",  -   ,"  10,340,719.69 ","  356,218.00 ",  -   ,31-Dec-23,  35 , ,  -   ,  -   , Passengers per year,"  142,201,090 ",2023 Annual Report,2023 Corporate Social Responsibility Report,https://www.csair.com/en/about/investor/yejibaogao/2023/resource/cc65199a874250e93c377d05441a7d1b.pdf,https://www.csair.com/cn/tourguide/booking/orders/product/shzebgz/resource/ae1a1b712a50c0b645604faf31ac3e7a.pdf
China Southern Power Grid,PT_00397,http://www.csg.cn,China Southern Power Grid Company Limited,China,East Asia & Pacific,Upper middle income,Government,,,, Q209039, 300300W2U9PCTY011N49, Urban, , , , , , Yes, Yes, Utilities,3510," Electric power generation, transmission and distribution","  104,124.03 ","  113,456.97 ", ...,"  290,500.00 ","  275,600.00 ",  , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,"  440,000,000.00 ",  -   ,  -   ,  -   ,  -   ,31-Dec-23,  3 , ,  -   ,  -   , Number of customers served,"  113,000,000 ",, ,, 
China State Construction,PT_00398,https://english.cscec.com,China State Construction Engineering Corporation Limited,China,East Asia & Pacific,Upper middle income,SOE, CNE100000F46,601668, SSE, Q69923136, 300300JP34Z5BCS24009, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  293,230.85 ","  304,903.87 ","  319,990.01 ","  368,327.00 ","  382,492.00 ","  382,894.00 ",  19.2 ,  14.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,  8 ,  8 ,  5 , Employees, , ,ANNUAL REPORT 2023, ,https://english.cscec.com/tzgx/reports/202408/P020240805620841208542.pdf, 
Carlsberg,PT_00318,https://www.carlsberggroup.com,Carlsberg Group,Denmark,Europe & Central Asia,High income,Public, DK0010181759,,, Q113215, 5299001O0WJQYB5GYZ19, FAB, Yes, , Yes, , , , Yes, Food Production,1103, Manufacture of malt liquors and malt,"  10,593.64 ","  9,924.44 ","  10,679.97 ","  39,000.00 ","  30,835.00 ","  31,044.00 ",  31.0 ,  35.7 ,"  26,400.00 ","  269,500.00 ",  0.60 ,  0.58 ,  0.54 ,  -   ,  -   ,  -   , No,  -   , NA, Targets Set, Targets Set,"  3,312,000.00 ","  938,000.00 ",  65.00 ,"  2,310,000.00 ","  744,000.00 ",  92.00 ,"  2,245,000.00 ","  729,000.00 ",  92.00 ,31-Dec-23,  32 ,  33 ,  1 , Production sites, Number of processing and manufacturing facilities ,  71 ,Financial Statement as at 31 December 2023,ESG Report,https://www.carlsberggroup.com/media/tnjdhw5h/06_07022024_financial-statement-as-at-31-december-2023.pdf,https://www.carlsberggroup.com/media/62134/carlsberg-group-2023-esg-report.pdf
China Taiping Insurance,PT_00401,http://www.cntaiping.com,China Taiping Insurance Holdings,China,East Asia & Pacific,Upper middle income,SOE, HK0000055878,00966, HKEX, Q4036130, 529900C2G37NOIADYW07, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  18,990.43 ","  68,446.00 ","  68,386.00 ","  65,378.00 ",  51.6 ,  20.0 ,  390.97 ,  45.09 ,  0.03 ,  0.08 ,  -   ,  0.00 ,  -   ,  0.00 , No,  0.00 , No,  -   , …,"  80,338.13 ","  51,363.95 ",  -   ,"  155,918.09 ","  130,038.37 ",  -   ,"  123,834.38 ","  84,113.00 ",  -   ,31-Dec-23,  10 , , ,  -   , , ,2023 Annual Report,"2023 Environmental, Social and Governance (ESG) & Corporate Social Responsibility Report",https://www.cntaiping.com/upload/cms/ctih/202404/26172536oxvd.pdf,https://www.cntaiping.com/upload/cms/ctih/202404/26175411499u.pdf
Cognizant,PT_02155,https://www.cognizant.com,Cognizant Technology Solutions Corporation,United States,North America,High income,Public, US1924461023,,, Q1107035, 5493006IEVQEFQO40L83, DIB, , , , Yes, , , Yes, IT Software & Services,6202, Computer consultancy and computer facilities management activities,"  18,507.00 ","  19,428.00 ","  19,353.00 ","  330,600.00 ","  355,300.00 ","  347,700.00 ",  38.4 ,  25.0 ,  282.74 ,"  1,403.91 ",  0.11 ,  0.11 ,  0.13 ,  1.19 , Yes,  -   , No,  0.46 , Yes, Targets Set, Targets Set,"  179,211.67 ",  -   ,  -   ,"  173,153.20 ",  -   ,  30.00 ,"  186,512.65 ",  -   ,  52.00 ,31-Dec-23,, ,  -   ,  -   , Number of employees,"  355,300 ",FORM 10-K,2023 Sustainability and Corporate Citizenship Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001058290/de75473b-5092-49c4-a3eb-e803a98109dc.pdf,https://www.cognizant.com/en_us/about/documents/cognizant-2023-sustainability-report.pdf
China Three Gorges,PT_00403,https://www.ctg.com.cn,China Three Gorges Corporation,China,East Asia & Pacific,Upper middle income,Government, CNE000001G87,,, Q1073522, 300300YGQJZMCFMU1894, Climate, , Yes, , , , , Yes, Utilities,3510," Electric power generation, transmission and distribution","  21,089.92 ","  21,700.10 ","  21,509.80 ","  28,461.00 ","  30,163.00 ","  34,787.00 ", ...,  12.5 ,"  7,252.20 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  4,610,248.30 ","  1,144,000.00 ",  -   ,31-Dec-23,  40 , ,  -   ,  -   , , ,2023 Annual Report,Sustainability Report,https://www.ctg.com.cn/uiFramework/js/pdfjs/web/viewer.html?file=/ctgenglish/attachDir/2024/12/2024120516162269728.pdf,https://www.ctg.com.cn/uiFramework/js/pdfjs/web/viewer.html?file=/ctgenglish/attachDir/2024/09/2024090911471958490.pdf
China Tianying,PT_02281,https://www.cnty.cn,China Tianying Inc,China,East Asia & Pacific,Upper middle income,Public, CNE000000FN8,000035 , SZSE,, 300300RT224QNW13QD64, Urban, , , , , , Yes, Yes, Waste Management,3811, Collection of non-hazardous waste,"  3,192.66 ",  995.06 ,  749.15 ,"  15,326.00 ","  17,985.00 ","  19,437.00 ",  49.9 ,  14.3 ,"  52,196.70 ","  1,656,100.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  450,199.12 ","  367,626.00 ",  9.67 ,31-Dec-23,  3 , ,  -   ,  -   , Number of customers , ,ESG Report,ESG Report,https://www.cnty.cn/uploads/files/202405/4c6f0c0bc05c6d1e703c7443b6f56f99.pdf,https://www.cnty.cn/uploads/files/202405/4c6f0c0bc05c6d1e703c7443b6f56f99.pdf
Comcast,PT_00454,https://www.cmcsa.com,Comcast,United States,North America,High income,Public, US20030N1019,,, Q1113804, 51M0QTTNCGUN7KFCFZ59, DIB, , , , Yes, , , Yes, Telecommunications,6110, Wired telecommunications activities,"  116,385.00 ","  121,427.00 ","  121,572.00 ","  189,000.00 ","  186,000.00 ","  186,000.00 ", ...,  33.3 ,  -   ,  -   ,  2.07 ,  1.98 ,  1.97 ,  -   , No,  10.74 , Yes,  10.79 , Yes, Committed, Committed,  -   ,"  4,180,378.00 ",  15.80 ,"  6,108,551.00 ","  4,254,842.00 ",  13.39 ,"  5,968,000.00 ","  4,244,000.00 ",  9.90 ,31-Dec-23,  31 , ,  -   ,  -   , , ,FORM 10-K, ,https://www.cmcsa.com/static-files/fabc4151-d6cd-4480-bf15-43a5dfd96290, 
China Vanke,PT_00406,https://www.vanke.com,"China Vanke Co., Ltd.",China,East Asia & Pacific,Upper middle income,Public, CNE0000000T2,02202, HKEX, Q861340, 529900E66UJ2DWY7KW55, Urban, , , , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  70,201.21 ","  74,753.47 ","  65,782.36 ","  139,494.00 ","  131,817.00 ","  131,097.00 ",  44.6 ,  9.1 ,"  2,289.73 ","  86,985.73 ",  0.43 ,  -   ,  -   ,  0.02 ,  -   ,  0.35 , No,  0.80 , No,  -   , …,"  26,258.46 ",  -   ,  -   ,"  1,386,698.05 ","  1,189,108.00 ",  -   ,"  382,825.84 ","  336,117.43 ",  -   ,31-Dec-23,  1 , ,  -   ,  -   , , ,annaul report,Sustainability Report,https://www.vanke.com/upload/file/2024-03-28/5014b66b-7d69-48c3-b1bb-d78df2c218e7.pdf,https://www.vanke.com/upload/file/2024-04-09/118470dd-4cb4-4b9d-82aa-6ddf67bf980e.pdf
China Zheshang Bank,PT_00410,http://www.czbank.com,China Zheshang Bank Co Ltd,China,East Asia & Pacific,Upper middle income,Public, CNE100003PS9,02016, HKEX, Q15924407, 300300C1031633000208, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  18,021.47 ","  17,288.00 ","  19,907.00 ","  19,293.00 ",  48.3 ,  13.3 ,  574.93 ,"  9,290.35 ",  0.02 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  37,461.60 ",  -   ,  -   ,"  442,815.80 ","  73,761.69 ",  -   ,"  116,187.74 ","  78,408.35 ",  2.01 ,31-Dec-23,  2 ,  2 ,  2 , Employees, , ,Annual Report 2023,2023 Social Responsibility Report,https://www.czbank.com/en/investor_relations/financial_information/financial_reports/20230425hk/20230425hk2/202404/P020240422617638226010.pdf,https://www.czbank.com/en/investor_relations/announcements/202403/P020240328767113370017.pdf
Shin-Etsu Chemical,PT_01590,https://www.shinetsu.co.jp,Shin-Etsu Chemical Co. Ltd.,Japan,East Asia & Pacific,High income,Public, JP3371200001,,, Q904284, 353800PX8Q64N86H5W41, Nature, , , Yes, , , , Yes, Chemicals,2029, Manufacture of other chemical products n.e.c.,"  18,901 ","  21,360 ","  17,189 ","  24,954 ","  25,717 ","  26,004 ",  29.0 ,  -   ,"  164,000.00 ","  269,000.00 ",  6.08 ,  -   ,  -   ,  10.32 ,  -   ,  11.14 , No,  10.87 , Yes,  -   , …,"  34,681,620.13 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  32,499,767.11 ",  -   ,  -   ,31-Mar-24,, , ,  -   , , ,Consolidated Financial Results,Sustainability Report,https://www.shinetsu.co.jp/wp-content/uploads/2023/07/20240425_con_E.pdf,https://www.shinetsu.co.jp/en/sustainability/assets/pdf/sustainability/esg_bn/Sustainability2024E.pdf
CHN Energy,PT_00363,https://www.ceic.com,"CHN ENERGY Investment Group Co.,LTD ",China,East Asia & Pacific,Upper middle income,Government,,,, Q38180956, 300300VT2BKANW0TKH13, Climate, , Yes, , , , , Yes, Utilities,3510," Electric power generation, transmission and distribution","  107,100.78 ", ..., ...,"  317,168.00 ","  310,753.00 ",  , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,, ,, 
Chubb,PT_00417,https://www.chubb.com,Chubb Limited,Switzerland,Europe & Central Asia,High income,Public, CH0044328745,,, Q1089060, E0JAN6VLUDI1HITHT809, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  49,735.00 ","  31,000.00 ","  34,000.00 ","  40,000.00 ",  55.0 ,  15.4 ,  -   ,  -   ,  0.04 ,  -   ,  0.06 ,  0.04 ,  -   ,  -   , No,  0.02 , No,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,  54 ,  50 ,  -   ,  -   , , ,Annual Report 2023, ,https://s201.q4cdn.com/471466897/files/doc_financials/2024/ar/Chubb-Limited-2023-Annual-Report-FINAL.pdf, 
Corning,PT_00478,https://www.corning.com,Corning Incorporated,United States,North America,High income,Public, US2193501051,,, Q5842736, 549300X2937PB0CJ7I56, DIB, , , , Yes, , , Yes, Capital Goods,2731, Manufacture of fibre optic cables,"  14,082.00 ","  14,189.00 ","  12,588.00 ","  61,200.00 ","  57,500.00 ","  50,300.00 ", ...,  28.6 ,"  20,867.21 ",  -   ,  2.82 ,  -   ,  -   ,  6.63 , Yes,  -   , No,  -   , NA, Target Set, Targets Set,"  9,560,543.00 ","  5,695,736.00 ",  2.98 ,"  10,061,373.00 ","  6,471,405.00 ",  -   ,"  10,190,097.00 ","  6,585,545.00 ",  -   ,31-Dec-23,, ,  -   ,  -   , Number of employees,"  57,500 ",Form 10-K,Sustainability Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/2615f22a-fe67-4177-a47c-7f36f7264b17.pdf,https://www.corning.com/microsites/corp-comm/corning-reports/2023-reports/downloads/corning-2023-sustainability-report.pdf
CI Financial Corp,PT_00422,https://www.cifinancial.com,CI Financial Corp,Canada,North America,High income,Public, CA1254911003,,, Q5011970, 549300M9W7JJQSVCEM78, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ...,"  2,372.40 ", ..., ...,"  2,390.00 ", ...,  28.6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,ANNUAL REPORT 2023, ,https://s28.q4cdn.com/266555903/files/doc_downloads/2024/2024/24-5215_aoda_ci-financial_annual-report_cda.pdf, 
CIFI Holdings,PT_00423,https://www.cifi.com.cn,CIFI Holdings (Group) Co. Ltd,China,East Asia & Pacific,Upper middle income,Public, KYG2140A1076,00884, HKEX, Q106241235, 549300WGKSV867C0JF48, Climate, , Yes, , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  16,718.56 ","  7,038.60 ","  10,145.84 ","  25,532.00 ","  32,017.00 ","  3,418.00 ",  44.0 ,  12.5 ,"  3,242.78 ","  10,353,524.01 ",  0.06 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  107,843.31 ","  101,616.24 ",  -   ,"  126,079.04 ","  115,228.59 ",  -   ,"  105,808.36 ","  86,709.35 ",  -   ,31-Dec-23,  2 , ,  -   ,  -   , , ,ANNUAL REPORT 2023,"Environmental, Social and Governance Report",https://www.cifi.com.cn/upload/file/20240507/20240507152402_92272.pdf,https://www.cifi.com.cn/upload/file/20240507/20240507152656_95152.pdf
